s,H/h,S0,type,R/h
0.0166666666666667,0.086,0.412333633114293,SB,0.153
0.466307658154999,0.4,5.34923637195127,NB,0.94
0.466307658154999,0.55,4.56184410582199,NB,1.7425
0.466307658154999,0.73,3.95968241171528,NB,2.8075
0.466307658154999,1.32,2.94465770830717,NB,5.192
0.466307658154999,1,3.38315413559633,NB,4.43666666666667
0.466307658154999,0.85,3.66954587752996,NB,3.39714285714286
0.466307658154999,0.64,4.22894266949542,NB,2.09333333333333
0.466307658154999,0.56,4.52092987930315,NB,1.994
0.466307658154999,0.49,4.83307733656619,NB,1.31454545454545
0.466307658154999,0.4,5.34923637195127,NB,1.005
0.70020753820971,0.37,8.35170520835383,NB,0.8075
0.70020753820971,0.53,6.97811437987672,NB,1.69
0.70020753820971,0.75,5.86604495474085,NB,2.8025
0.70020753820971,0.9,5.35494190841822,NB,3.83
0.70020753820971,1.17,4.69659474370149,NB,7.728
0.70020753820971,0.96,5.18490020780299,NB,5.31333333333333
0.70020753820971,0.84,5.54289147491765,NB,3.79142857142857
0.70020753820971,0.63,6.40037977026518,NB,2.24666666666667
0.70020753820971,0.55,6.85006470550467,NB,1.792
0.70020753820971,0.49,7.25734850078159,NB,1.36
0.70020753820971,0.39,8.13474071865191,NB,1.05333333333333
1,0.35,12.2635219992514,NB,1.085
1,0.53,9.96578014243943,NB,1.7725
1,0.77,8.26806484521025,NB,3.18
1,0.86,7.82348061920037,NB,4.3925
1,1.22,6.56854714449563,NB,7.644
1,0.99,7.29174780139402,NB,5.25
1,0.84,7.91606941149151,NB,4.01428571428571
1,0.63,9.14068961129677,NB,2.44666666666667
1,0.56,9.69516541330405,NB,1.896
1,0.49,10.3645677956241,NB,1.48
1,0.4,11.471474419091,NB,0.945
0.1,0.316,1.29064170747016,SB,0.84960313364214
0.1,0.306,1.31156108824839,SB,0.82294645942021
0.1,0.287,1.35427944942979,SB,0.75618717089088
0.1,0.273,1.38857043174794,SB,0.75198706465843
0.1,0.257,1.43114182787178,PB,0.59676233859048
0.1,0.24,1.48096097938612,PB,0.71203565417539
0.1,0.22,1.54681329512034,PB,0.672089843834
0.1,0.202,1.61426024714175,PB,0.63221123519233
0.1,0.186,1.68225862860094,PB,0.55232521465119
0.1,0.169,1.76484221832169,PB,0.54370659666221
0.1,0.158,1.82524300686867,NB,0.49469975714202
0.1,0.485,1.0417856413181,SB,1.1640006856365
0.1,0.455,1.07558203143916,SB,1.0929964897416
0.1,0.438,1.09625649994838,SB,1.070965532517
0.1,0.417,1.12352103839691,SB,1.0266236109857
0.1,0.387,1.16625563234561,SB,0.97351186764096
0.1,0.364,1.20253726883764,SB,0.91579120772386
0.1,0.337,1.24978205980372,SB,0.87604700248162
0.1,0.318,1.28657668412108,SB,0.81821993987329
0.1,0.288,1.35192622532454,SB,0.78298944879553
0.1,0.267,1.40408566673066,SB,0.72078867556381
0.1,0.245,1.4657712344707,PB,0.68988709397629
